Day,Susceptible,Exposed,Infectious,Recovered
0.0,990.0,0.0,10.0,0.0
0.020202020202020204,986.1084879222219,3.7560010771154184,9.544726061383994,0.5907849392789275
0.04040404040404041,982.3579087260587,7.120152417987761,9.359554055497263,1.1623848004564825
0.06060606060606061,978.6479061640817,10.21599874696923,9.406143335083815,1.7299517538653262
0.08080808080808081,974.8927228728625,13.14458033396742,9.656070894312528,2.3066258988577855
0.10101010101010102,971.0174533516447,15.989581553122658,10.088890041109146,2.9040750541235973
0.12121212121212122,966.9551114089086,18.821342965152752,10.690615247122222,3.5329303788167152
0.14141414141414144,962.6443274098722,21.699992306612888,11.452539640276946,4.2031406432381875
0.16161616161616163,958.0275381527491,24.677886760439964,12.370312074392828,4.924263012418257
0.18181818181818182,953.049567456173,27.801511905261293,13.443216320358449,5.705704318207441
0.20202020202020204,947.6565232511266,31.112945678545085,14.673607506657035,6.556923563671481
0.22222222222222224,941.7949562221615,34.650970192047225,16.06646946780273,7.487604117988675
0.24242424242424243,935.4112414919601,38.45189251950005,17.629063980588278,8.507802007951785
0.26262626262626265,928.4511573928422,42.55011927930231,19.37064820425846,9.628075123597213
0.2828282828282829,920.8596451977971,46.978517345020975,21.302240596422326,10.859596860759835
0.30303030303030304,912.5807418590069,51.768582898913095,23.436418638874766,12.214256603205445
0.32323232323232326,903.557683733874,56.95043389937604,25.787133810337913,13.704748556412317
0.3434343434343435,893.7331846095625,62.55263472947514,28.369531104947537,15.344649556015133
0.36363636363636365,883.0498943966073,68.60185835104235,31.199761469945877,17.14848578240472
0.38383838383838387,871.4510468758859,75.12238894421338,34.294776557675476,19.131787622225414
0.4040404040404041,858.8813050282859,82.13546769441344,37.672095974367664,21.311131302933358
0.42424242424242425,845.2878108066142,89.65848583190781,41.34953799349983,23.70416536797849
0.4444444444444445,830.6214422571478,97.70403255991856,45.34490568248138,26.329619500452385
0.4646464646464647,814.8382745549039,106.27881115662235,49.67562147804376,29.207292810430157
0.48484848484848486,797.9012324623981,115.38244435233814,54.358304920628946,32.35801826463509
0.5050505050505051,779.7819098185654,125.00620017645358,59.4082902870519,35.80359971792939
0.5252525252525253,760.4625171099464,135.13168139328428,64.83908362988035,39.56671786688933
0.5454545454545455,739.9379010269101,145.7295352224519,70.66176222083703,43.670801529801345
0.5656565656565657,718.2175629363198,156.75825287940725,76.88432325296722,48.13986093130608
0.5858585858585859,695.3275805524333,168.16314482326587,83.51099432555813,52.99828029874311
0.6060606060606061,671.3123243602538,179.87558484583397,90.54152285317855,58.270567940734125
0.6262626262626263,646.2358450016671,191.8126242505483,97.97046758712479,63.98106316066012
0.6464646464646465,620.1827985997362,203.87707932181087,105.78652113548269,70.15360094297067
0.6666666666666667,593.2587792948456,215.9581857610339,113.9718973286469,76.81113761547392
0.686868686868687,565.5899423284334,227.93289388043976,122.50182181206534,83.97534197906197
0.7070707070707072,537.3218232140592,239.66785216992304,131.34416470125103,91.66615991476706
0.7272727272727273,508.6172999545669,251.02208291747996,140.4592551724464,99.90136195550713
0.7474747474747475,479.65369471354654,261.8503057974692,149.79991346404424,108.69608602494044
0.7676767676767677,450.6190710294541,272.0068105874959,159.3117289004827,118.06238948256765
0.787878787878788,421.70784946793697,281.3497236536211,168.933600925713,128.00882595272935
0.8080808080808082,393.11591841422495,289.74546756956994,178.59855093215845,138.54006308404706
0.8282828282828284,365.0354831470668,297.0731694290049,188.23478995028324,149.65655747364542
0.8484848484848485,337.6499144619531,303.22876575607734,197.7670184212409,161.35430136072907
0.8686868686868687,311.12888559238183,308.1285479066849,207.11791231824557,173.62465418268812
0.888888888888889,285.6240648900019,311.71192715488604,216.20973967550324,186.45426827960935
0.9090909090909092,261.26559852755014,313.94324723444026,224.96603925424088,199.8251149837691
0.9292929292929294,238.159557539869,314.81254119296557,233.3132888918544,213.7146123753115
