Day,Susceptible,Infectious,Recovered
0.0,990.0,10.0,0.0
1.0,986.7232322468141,12.171649038230722,1.1051187149554946
2.0,982.7516467982634,14.79885213490966,2.449501066827252
3.0,977.947486434478,17.969523694719733,4.082989870802566
4.0,972.150178981186,21.784939051097986,6.064881967716438
5.0,965.1746651525025,26.36004873020758,8.465286117290317
6.0,956.8106709925511,31.822859811584756,11.366469195864457
7.0,946.8235215382895,38.31240411882723,14.864074342883574
8.0,934.9572639274671,45.974695301803074,19.068040770730185
9.0,920.940996520734,54.95601221974506,24.102991259521463
10.0,904.499346969636,65.39286623305846,30.107786797306005
11.0,885.3679001286339,77.39820720239824,37.233892668968416
12.0,863.3139557750081,91.04387022863733,45.64217399635511
13.0,838.162178819261,106.34004455499822,55.49777662574138
14.0,809.8234862468105,123.21363494011838,66.96287881307177
15.0,778.3240060240336,141.4886456093774,80.18734836658963
16.0,743.8294708693388,160.87281538924077,95.29771374142103
17.0,706.659568703045,180.9551279523936,112.38530334456196
18.0,667.2871091560991,201.21804299340414,131.4948478504974
19.0,626.3188474980439,221.0660315750218,152.61512092693505
20.0,584.4582706638666,239.86854349484608,175.67318584128807
21.0,542.4547139902306,257.01184226069125,200.53344374907897
22.0,501.04655446766816,271.95147534175743,227.0019701905752
23.0,460.9076234835173,284.25661490025647,254.83576161622702
24.0,422.6049422695511,293.6393501130475,283.7557076174022
25.0,386.57278496451517,299.9656292470588,313.4615857884269
26.0,353.1041970348284,303.2485555361829,343.64724742898954
27.0,322.3576782107331,303.6279191861719,374.0144026030958
28.0,294.37464387423654,301.34145942227775,404.2838967034865
29.0,269.1027159790537,296.6933516420607,434.2039323788864
30.0,246.42048742307136,290.0243217564932,463.5551908204362
31.0,226.16061526604875,281.68621411958645,492.1531706143655
32.0,208.12942955614247,272.02230516338244,519.8482652804759
33.0,192.12235355607726,261.353477516756,546.5241689271674
34.0,177.935198255812,249.96963519443383,572.0951665497548
35.0,165.37184726891272,238.1253635140495,596.5027892170385
36.0,154.24902132578063,226.03877685058092,619.7122018236391
37.0,144.3988322778877,213.8925734474968,641.7085942746161
38.0,135.66975505264713,201.8364911587818,662.4937537885717
39.0,127.92653380801057,189.99054009586033,682.0829260961298
40.0,121.04941702028538,178.44856321283595,700.5020197668794
41.0,114.93300872965517,167.28182278081053,717.7851684895348
42.0,109.48493893978439,156.54241419374696,733.9726468664693
43.0,104.62448467331005,146.26640254928964,749.1091127774009
44.0,100.28122653963585,136.4766261861525,763.2421472742124
45.0,96.39378965897944,127.18515262812448,776.4210577128968
46.0,92.90869391300924,118.39539678258622,788.6959093044053
47.0,89.77932345229492,110.10392415862313,800.1167523890826
48.0,86.9650147531767,102.30196940070668,810.7330158461174
49.0,84.43025756501136,94.97670325462062,820.5930391803688
50.0,82.14399933508392,88.11228038637012,829.7437202785467
51.0,80.07904290497846,81.69069888760592,838.2302582074163
52.0,78.21152669073429,75.69249956318964,846.0959737460768
53.0,76.52047709873673,70.09733000217105,853.382192899093
54.0,74.98742375729395,64.88439533323842,860.1281809094684
55.0,73.59606862542127,60.03281461666472,866.3711167579147
56.0,72.3320022674136,55.52189896463658,872.1460987679505
57.0,71.18245954729464,51.331365266457034,877.486175186249
58.0,70.1361097614133,47.44149708666803,882.4223931519194
59.0,69.18287589785767,43.83326262128611,886.9838614808571
60.0,68.3137788847477,40.48839744973996,891.1978236655132
61.0,67.52080313397448,37.389459325887145,895.0897375401391
62.0,66.79678026059912,34.519860553585445,898.6833591858161
63.0,66.1352884409378,31.86388222995979,902.0008293291031
64.0,65.53056504067597,29.406674619521635,905.062760339803
65.0,64.97743063043809,27.134246738039113,907.8883226315235
66.0,64.47122285824825,25.033447426652916,910.4953297150995
67.0,64.00773869210317,23.091940337901125,912.9003209699963
68.0,63.583183877325496,21.29817447578892,915.1186416468862
69.0,63.1941286827789,19.64135149694246,917.1645198202792
70.0,62.837469009252295,18.111391059048227,919.0511399317
71.0,62.51039213875791,16.698895071019734,920.7907127902229
72.0,62.21034654980589,15.39511145883019,922.3945419913645
73.0,61.93501528195758,14.19189795698942,923.8730867610536
74.0,61.68229222231265,13.08168671903753,925.2360210586505
75.0,61.45026120585317,12.057449455804193,926.4922893383433
76.0,61.23717735493641,11.112663838934203,927.6501588061301
77.0,61.04145047433334,10.24128115189597,928.7172683737714
78.0,60.86163025252151,9.43769527671782,929.7006744707614
79.0,60.69639300420342,8.696713198229435,930.6068937975679
80.0,60.54452983333534,8.013526930075889,931.4419432365895
81.0,60.40493598535611,7.383686994457757,932.2113770201868
82.0,60.27660130137677,6.803077395024903,932.9203213035989
83.0,60.15860163231348,6.2678920444234185,933.5735063232637
84.0,60.050091083907056,5.77461263663986,934.1752962794537
85.0,59.950295043229254,5.319987893515391,934.729717063256
86.0,59.85850386474872,4.901014164103431,935.2404819711485
87.0,59.77406716156126,4.514917283080801,935.7110155553586
88.0,59.696388646930195,4.159135636026566,936.1444757170439
89.0,59.62492143375048,3.8313044054199517,936.5437741608303
90.0,59.55916379434316,3.5292408708026572,936.9115953348548
91.0,59.4986552909482,3.250930764416111,937.2504139446363
92.0,59.442973267875274,2.9945155728689845,937.5625111592564
93.0,59.39172964934754,2.758280759590601,937.8499895910625
94.0,59.34456803044796,2.540644831035507,938.1147871385172
95.0,59.301161022674044,2.3401492015467817,938.3586897757799
96.0,59.26120783001453,2.155448799354848,938.5833433706314
97.0,59.22443204061996,1.9853033651749963,938.7902645942057
98.0,59.19057960492234,1.8285694008096307,938.9808509942686
99.0,59.159416992378816,1.684192714671551,939.1563902929503
100.0,59.130729501070675,1.5512015288630598,939.318068970067
